"";"plot";"x_quadrat";"y_quadrat";"tree_ID";"Statut";"genus";"species";"planting_date";"banana";"panicum";"cedrela";"cover";"delay"
"183";1;"28";"49";"1_183";1;"Nesogordonia";"papaverifera";2019-06-27;1;0,3;0,2;0,372;0,128440366972477
"184";1;"28";"52,5";"1_184";1;"Mansonia";"altissima";2019-06-27;1;0,3;0,2;0,372;0,128440366972477
"185";1;"28";"56";"1_185";1;"Nesogordonia";"papaverifera";2019-06-27;1;0,3;0,2;0,372;0,128440366972477
"186";1;"28";"59,5";"1_186";1;"Mansonia";"altissima";2019-06-27;1;0,3;0,2;0,372;0,128440366972477
"187";1;"28";"63";"1_187";1;"Mansonia";"altissima";2019-06-27;1;0,3;0,2;0,372;0,128440366972477
"188";1;"28";"66,5";"1_188";1;"Mansonia";"altissima";2019-06-27;1;0,3;0,2;0,372;0,128440366972477
"189";1;"28";"70";"1_189";1;"Mansonia";"altissima";2019-06-27;1;0,3;0,2;0,372;0,128440366972477
"190";1;"31,5";"0";"1_190";1;"Nesogordonia";"papaverifera";2019-06-27;1;0,3;0,2;0,372;0,128440366972477
"191";1;"31,5";"3,5";"1_191";0;"Mansonia";"altissima";2019-06-27;1;0,3;0,2;0,372;0,128440366972477
"192";1;"31,5";"7";"1_192";1;"Mansonia";"altissima";2019-06-27;1;0,3;0,2;0,372;0,128440366972477
"193";1;"31,5";"10,5";"1_193";0;"Mansonia";"altissima";2019-06-27;1;0,3;0,2;0,372;0,128440366972477
"194";1;"31,5";"14";"1_194";1;"Mansonia";"altissima";2019-06-27;1;0,3;0,2;0,372;0,128440366972477
"195";1;"31,5";"17,5";"1_195";1;"Mansonia";"altissima";2019-06-27;1;0,3;0,2;0,372;0,128440366972477
"196";1;"31,5";"21";"1_196";1;"Mansonia";"altissima";2019-06-27;1;0,3;0,2;0,372;0,128440366972477
"197";1;"31,5";"24,5";"1_197";1;"Nesogordonia";"papaverifera";2019-06-27;1;0,3;0,2;0,372;0,128440366972477
"198";1;"31,5";"28";"1_198";1;"Mansonia";"altissima";2019-06-27;1;0,3;0,2;0,372;0,128440366972477
"199";1;"31,5";"31,5";"1_199";1;"Mansonia";"altissima";2019-06-27;1;0,3;0,2;0,372;0,128440366972477
"200";1;"31,5";"35";"1_200";1;"Mansonia";"altissima";2019-06-27;1;0,3;0,2;0,372;0,128440366972477
"201";1;"31,5";"38,5";"1_201";1;"Mansonia";"altissima";2019-06-27;1;0,3;0,2;0,372;0,128440366972477
"202";1;"31,5";"42";"1_202";1;"Mansonia";"altissima";2019-06-27;1;0,3;0,2;0,372;0,128440366972477
"203";1;"31,5";"45,5";"1_203";0;"Nesogordonia";"papaverifera";2019-06-27;1;0,3;0,2;0,372;0,128440366972477
"204";1;"31,5";"49";"1_204";1;"Nesogordonia";"papaverifera";2019-06-27;1;0,3;0,2;0,372;0,128440366972477
"205";1;"31,5";"52,5";"1_205";1;"Mansonia";"altissima";2019-06-27;1;0,3;0,2;0,372;0,128440366972477
"206";1;"31,5";"56";"1_206";1;"Mansonia";"altissima";2019-06-27;1;0,3;0,2;0,372;0,128440366972477
"207";1;"31,5";"59,5";"1_207";0;"Nesogordonia";"papaverifera";2019-06-27;1;0,3;0,2;0,372;0,128440366972477
"208";1;"31,5";"63";"1_208";0;"Nesogordonia";"papaverifera";2019-06-27;1;0,3;0,2;0,372;0,128440366972477
"209";1;"31,5";"66,5";"1_209";1;"Mansonia";"altissima";2019-06-27;1;0,3;0,2;0,372;0,128440366972477
"210";1;"31,5";"70";"1_210";0;"Nesogordonia";"papaverifera";2019-06-27;1;0,3;0,2;0,372;0,128440366972477
"211";1;"35";"0";"1_211";0;"Mansonia";"altissima";2019-06-27;1;0,3;0,2;0,372;0,128440366972477
"212";1;"35";"3,5";"1_212";0;"Nesogordonia";"papaverifera";2019-06-27;1;0,3;0,2;0,372;0,128440366972477
"213";1;"35";"7";"1_213";0;"Nesogordonia";"papaverifera";2019-06-27;1;0,3;0,2;0,372;0,128440366972477
"214";1;"35";"10,5";"1_214";0;"Nesogordonia";"papaverifera";2019-06-27;1;0,3;0,2;0,372;0,128440366972477
"215";1;"35";"14";"1_215";1;"Mansonia";"altissima";2019-06-27;1;0,3;0,2;0,372;0,128440366972477
"216";1;"35";"17,5";"1_216";1;"Mansonia";"altissima";2019-06-27;1;0,3;0,2;0,372;0,128440366972477
